artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
Limoblaze;Lecrae;Happi,Jireh (My Provider),Jireh (My Provider),64,168000,0,0.443,0.778,0,-7.564,0,0.266,0.241,0,0.215,0.628,128.25,5,afrobeat
Criolo,Ainda Há Tempo,Ainda Há Tempo,44,318360,0,0.58,0.8,6,-7.528,1,0.345,0.281,0,0.0708,0.483,81.303,4,afrobeat
Criolo,Fellini,Fellini,?,171989,0,0.805,0.746,1,-5.211,0,0.185,0.238,0,0.215,0.717,127.922,4,afrobeat
Criolo,Nó na Orelha,Lion Man,46,205440,0,0.582,0.66,7,-4.988,0,0.0544,0.399,0,0.127,0.484,83.789,4,afrobeat
Criolo,Espiral de Ilusão,Espiral de Ilusão,44,220800,0,0.776,0.314,2,-9.513,1,0.034,0.881,0.000723,0.139,0.476,124.055,4,afrobeat
Criolo,Sobre Viver,Yemanjá Chegou,43,258359,0,0.711,0.515,2,-8.238,0,0.0514,0.679,0.000324,0.0971,0.679,90.91,4,afrobeat
Criolo;Rael,Ainda Há Tempo,Tô Pra Ver,41,254520,0,0.637,0.818,8,-6.851,1,0.281,0.19,0,0.102,0.599,90.571,4,afrobeat
BaianaSystem,Terapia,Terapia,39,261400,0,0.79,0.814,9,-6.358,0,0.0268,0.243,0.0102,0.528,0.914,124.03,4,afrobeat
Plastilina Mosh,Hola Chicuelos,Aló,40,244933,0,0.797,0.609,10,-10.537,1,0.131,0.00375,0.0191,0.128,0.913,142.035,4,afrobeat
Criolo,Ainda Há Tempo,Vasilhame,43,172440,0,0.506,0.876,2,-5.877,0,0.316,0.194,1.86e-06,0.353,0.676,124.218,5,afrobeat
Criolo,Nó na Orelha,Sucrilhos,46,240226,0,0.788,0.574,0,-9.068,1,0.319,0.0626,0,0.203,0.764,160.027,4,afrobeat
Criolo,Ainda Há Tempo,Chuva Ácida,39,180000,0,0.708,0.782,9,-6.419,1,0.284,0.0507,0,0.251,0.717,94.038,4,afrobeat
Criolo,Ainda Há Tempo,Breaco,40,177240,0,0.619,0.781,1,-6.548,1,0.333,0.148,0,0.183,0.728,182.026,4,afrobeat
BaianaSystem;BNegão,ATO 1: Navio Pirata,Reza Forte,38,232826,0,0.844,0.915,0,-4.06,0,0.129,0.393,0.00238,0.0847,0.872,145.997,4,afrobeat
?,Ainda Há Tempo,É o Teste,41,279720,0,0.66,0.728,10,-6.177,0,0.337,0.178,0,0.0516,0.594,91.101,4,afrobeat
Criolo;MC Hariel;Liniker;Maria Vilani;Jaques Morelenbaum,Sobre Viver,Pequenina,42,273973,0,0.606,0.6,7,-7.785,1,0.139,0.0469,0,0.327,0.529,159.971,4,afrobeat
Jorge Drexler;Sebastián Prada,Milonga de Ojos Dorados (Alfredo Zitarrosa) [Live on Pardelion Music],Milonga de Ojos Dorados (Alfredo Zitarrosa) - Live on Pardelion Music,38,161342,0,0.67,0.273,7,-10.77,1,0.0388,0.946,0.00136,0.179,0.443,128.87,4,afrobeat
Criolo,Ainda Há Tempo,Até Me Emocionei,38,175800,0,0.772,0.789,4,-7.159,0,0.298,0.101,0,0.0575,0.549,84.96,4,afrobeat
Criolo;Emicida;Mano Brown,Criolo E Emicida Ao Vivo (Live),Vida Loka I - Live,44,271840,0,0.434,0.877,8,-5.945,0,0.247,0.849,0,0.653,0.662,82.109,4,afrobeat
Criolo,Ainda Há Tempo,Demorô,37,138480,0,0.755,0.709,1,-5.066,0,0.289,0.0528,0,0.0825,0.657,140.989,4,afrobeat
BaianaSystem;Liz Reis,OXEAXEEXU,Guerra Batalha,36,146000,0,0.437,0.357,4,-7.6,0,0.0294,0.676,1.11e-06,0.118,0.26,120.088,4,afrobeat
